,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
BTG1,-0.37602493719868174,-0.36695738204255296,0.004913237541265257,-0.18398284928122285,down,5.226753484529969
NAP1L1,-0.4230860214072196,-0.48026187081634253,0.005610730948711831,-0.2149038285710497,down,5.259358641844616
GABARAP,-0.3170782759451637,-0.3531678700210758,0.0036497915713271565,-0.14083065053328453,down,5.270003469264673
RPS2,-0.3842131452472378,-0.4782731229133518,-0.005493304705514016,-0.21328619733565699,down,5.278972477249
RNF10,-0.34403233942593286,-0.32703508432755013,0.002592843987235551,-0.10162363474391899,down,5.2925567593173914
COTL1,-0.39049699808178795,-0.41568474606117256,0.005586453185737798,-0.2227162343940281,down,5.31713030065632
ERH,-0.41230390000130834,-0.40253588591125167,0.0034463130584770005,-0.13756083435942948,down,5.318872201272664
TCEAL9,-0.319414588978402,-0.33754302221707905,0.0028204889656197056,-0.11610760587192907,down,5.363373379024519
LARP6,-0.5021436242393171,-0.5258372010740736,-0.004017500702349837,-0.17171783418507908,down,5.417597795481156
RAC1,-0.4355427789533383,-0.4518068857995716,0.0045932287130872945,-0.20053931836292915,down,5.448232691236617
BNIP3L,-0.48156869267103675,-0.5033283129698486,-0.003932951246388493,-0.17383303608133996,down,5.465946172343322
CDK4,-0.49956513125040425,-0.5160012405976083,-0.003131397922084643,-0.14212087652523053,down,5.504167830894937
RPS3,-0.2567079633530258,-0.3030148023088908,0.002816791929066454,-0.13437976527669304,down,5.576119106601588
SF1,-0.3316743048661015,-0.3267716274648035,0.002636976800169309,-0.1287525111651082,down,5.609571881814947
ANKRD28,-0.451884837603718,-0.4429966893927207,0.005087793354623805,-0.2540513664576153,down,5.641936338272115
FOSL1,-0.6630438838499353,-0.6414686688909087,-0.0048920452588044235,-0.2457560752981258,down,5.650645520389271
LRRC1,-0.3354916028372138,-0.357819688511851,-0.003153206449640422,-0.16012998346079904,down,5.66628002907977
KCMF1,-0.36102902131537384,-0.3553307841270034,0.0030765958991852407,-0.15763099355417587,down,5.679072453678142
EEF1G,-0.37696506072842395,-0.41763723603764713,0.0033428275085441933,-0.1762183534280445,down,5.720151467752708
RAB11FIP1,-0.432858719402281,-0.49970022620298155,0.0029001219300513192,-0.15538830157604966,down,5.743620527312171
ARF4,-0.4914592715984303,-0.5245434255289513,0.003899577630914904,-0.21690189768422638,down,5.797580993063165
FEM1C,-0.46170676654648696,-0.4803726990869304,-0.001883632657846449,-0.10641016364641233,down,5.819974503607988
YBX1,-0.4868310622830732,-0.4992338417549003,-0.00359124362227403,-0.2068631399195784,down,5.8480492643952635
BICC1,-0.6447327452511007,-0.6506210495937232,-0.005830743443490972,-0.34811831185937386,down,5.8997540504206505
GAS5,-0.42852856455063715,-0.4404261880525905,0.004265438305732187,-0.2709643308818648,down,5.989265143931017
ARPC3,-0.3553874980564122,-0.3790632733554087,0.002328375061296042,-0.14949166917020656,down,6.004597807936136
EPAS1,-0.45972582895485586,-0.45546120865097545,0.004686862476956999,-0.3015934656576613,down,6.007838897667516
CREB5,-0.29792733183574027,-0.30801995639611623,0.002181499516707435,-0.14498200084604998,down,6.054409840041621
EPB41,-0.39494725926446195,-0.40222535776561774,-0.0020133009674220942,-0.1365778801568952,down,6.084017180522156
MSC-AS1,-0.42390666337267585,-0.40026390500916925,0.005217765666442534,-0.3647271893697379,down,6.127241789097837
MALT1,-0.35109085850054705,-0.35255034477631714,0.0017746498249892866,-0.12443406865831821,down,6.131703343901724
OAZ1,-0.46168783594367596,-0.49161275048034575,0.003550660430051758,-0.2554249940734695,down,6.168668499815279
ADAMTS1,-0.5281538664901851,-0.5293699703824665,0.002688006383159225,-0.19819428907701622,down,6.204235017909253
GOLPH3,-0.438631202589873,-0.4272992264582164,-0.0017000598855694978,-0.12628517140827872,down,6.214955868452821
MZT2B,-0.47411136200341136,-0.4850145669317658,-0.002675177700340713,-0.19906320502340455,down,6.217448040143661
MICALL1,-0.38903163452616574,-0.36910560690314814,0.001366490536992593,-0.102312339176681,down,6.226360869555259
NUDT6,-0.5048695672425361,-0.5011576819030746,-0.0020096496002039916,-0.1505706059603744,down,6.227352370769937
TXNRD1,-0.6541488500301186,-0.635329349929542,-0.005617246774295618,-0.4232521556310657,down,6.235510421464736
TALDO1,-0.35837270946882266,-0.35878472247599796,-0.001609618261503368,-0.12531138206958786,down,6.282655072731278
MAMDC2,-0.4865217432512965,-0.5191277967609389,0.004088228601518355,-0.3204040811825807,down,6.292272844403095
EDF1,-0.42733665712838165,-0.4589942689957249,0.0018378101411896223,-0.14521506696588013,down,6.304059605748847
PDE4B,-0.4709461918712162,-0.46204388007192326,-0.0030791556207557017,-0.2434125565220492,down,6.304724998534597
INVS,-0.39763602974913087,-0.40993608283179506,0.0012971997572521767,-0.10839876784218744,down,6.384803888659627
RPS4X,-0.2864611300289435,-0.38056747348088604,0.0026282135199069984,-0.22137908263614564,down,6.396292615863874
AC100822.1,-0.6033035703597618,-0.5927559087576794,-0.002420481725911903,-0.20469816709217406,down,6.4020601717979755
MAP1LC3B,-0.5382726791179875,-0.5320339249149152,-0.004733422090353554,-0.4143800648700773,down,6.451927212515632
NYAP2,-0.3080362050828987,-0.33999492498917555,-0.0013022121287781432,-0.11717426904922847,down,6.491547503948723
MRPL33,-0.5379239166355089,-0.5492615991476306,-0.0020928544591433166,-0.192457527331565,down,6.522924300732807
MSANTD3,-0.34131024960583894,-0.3719014417884225,0.0011854403560539752,-0.11030096948930888,down,6.539878584061106
POLR2L,-0.2899003709513087,-0.31267803767467434,0.0017256853345621172,-0.161086174393819,down,6.544519442218493
ZNF292,-0.3609599017503805,-0.3540908649598243,0.0015291189998962082,-0.14723993282820644,down,6.58932450120936
ZCRB1,-0.4968035644067415,-0.49990866697235564,-0.0014431969170279617,-0.14193665609482486,down,6.619835251168444
TARS,-0.3814441327373239,-0.3854318750991639,0.001258208293427546,-0.12412222927474306,down,6.6242469264849
ARID5B,-0.53820531947271,-0.5567488885386435,0.0028556319337500065,-0.29088794705808463,down,6.670509668942382
PDE1C,-0.40637189225342774,-0.42257648973940376,-0.002418708015812272,-0.2472770210159805,down,6.67574774979843
PRR13,-0.4672810629193461,-0.48140922413390225,0.0010958790763944285,-0.11741059850429371,down,6.743330219895562
SEC61G,-0.31190140105655156,-0.30010107526105023,-0.0009535104217033722,-0.10280374582362978,down,6.752428410088633
NTNG1,-0.5549576759362708,-0.5547793301251858,0.0029082758161019097,-0.3180689724199134,down,6.773031735259122
EEF1B2,-0.45058972488426857,-0.48954940499322114,0.0019895843906601834,-0.2198745576607561,down,6.788069771082125
HINT1,-0.3728457410348511,-0.4102054750437622,0.0013781914038305978,-0.15536946187488482,down,6.816782893203079
AKR7A2,-0.4736740221687711,-0.47595506488838296,-0.000856126677305098,-0.1106725329964247,down,7.014257217642
GARS,-0.4377818148027399,-0.43955340684934224,0.0016570117569094235,-0.22671918827136436,down,7.096178848958934
RPL10,-0.3132053299817075,-0.3472011655273945,-0.001158264846592857,-0.1667440542891544,down,7.1695263340053215
PARD6B,-0.31994396407392695,-0.3219138083703482,0.0007970726882598739,-0.12015869588938735,down,7.236014049432547
TBCA,-0.37152008436891776,-0.40589834288119525,-0.000656798524219536,-0.10190835371847988,down,7.2776057173572015
JUNB,-0.3968304961091233,-0.3978578294068227,-0.0007272494599014611,-0.11925788092956795,down,7.3574185718976866
