,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
DIAPH3,-0.38495615554117507,-0.3363904775029355,-0.011328068936063633,-0.10493590664887321,down,3.2115345643087516
SLAMF7,-0.4204898982313125,-0.4348375895620778,0.011567477433088167,-0.11166110641003826,down,3.2709805669769714
MDGA1,-0.3343830487149515,-0.33118319656668554,0.013544343004691472,-0.1331653856221318,down,3.297456804286608
USP54,-0.38219174903377706,-0.3656267584135971,-0.011726537402260227,-0.11548726215799039,down,3.2998847520685755
TBL1XR1,-0.4001330696110103,-0.390435251160946,0.016800733729614947,-0.16634315719934573,down,3.3075663742419845
VGLL3,-0.4251102219378997,-0.5152917110284903,0.02744261950746505,-0.2730284921702103,down,3.3145614087408886
NTNG1,-0.6795157731020677,-0.6791710131846608,-0.023850718161463454,-0.24040998616858725,down,3.3333922115383814
SFTA1P,-0.37019419759043004,-0.4140699999787466,0.011228369352422449,-0.1133609696438967,down,3.335703671956851
LINC01239,-0.4503009489934192,-0.4589361987338578,-0.01130162518419559,-0.11565109827746095,down,3.3551768129952144
MT-CO1,-0.8286083983470667,-0.8052700775155235,-0.35905623318532004,-3.703195883836669,down,3.366489151258095
DPP10,-0.40530980525783955,-0.41307990367644654,-0.022106565613480046,-0.2322766259730609,down,3.3932971664469496
SUMO1,-0.3022592864452242,-0.32190882038237056,0.0297887054304408,-0.3217612240986389,down,3.4331531424713746
CD151,-0.32122094078628655,-0.3066112565448351,-0.009405931433486628,-0.10185900922880767,down,3.4368589638521083
ELL2,-0.34142754888451193,-0.336729499779242,0.01570271109446502,-0.17021568324434136,down,3.4382784004366864
NRXN3,-0.7065209443049227,-0.7155271028922489,-0.04169914272557589,-0.4527952814745846,down,3.440769294744284
LINC02832,-0.47501997541967206,-0.48582239797368815,0.01680318195608411,-0.18343153411896532,down,3.4484353153530436
FLRT2,-0.7212088006587037,-0.7138550293704966,-0.032277406354502235,-0.35281001397991363,down,3.4502949493274038
PDE4B,-0.6764881906943357,-0.6768792752369698,-0.02155231216331921,-0.2366009817164873,down,3.456541502644674
NRG3,-0.4359140148476369,-0.4377616638103143,0.034073150297574926,-0.3742075552012528,down,3.457131440882558
NFAT5,-0.6919638413144528,-0.6861828985126193,-0.024091706700054977,-0.2653681883204868,down,3.4613869289400814
MAP1LC3B,-0.3457425516984377,-0.3216969655051852,0.017273550586452326,-0.1919587820821218,down,3.4741599996452326
METTL25,-0.3321187757694376,-0.335930132001647,0.013287729002107809,-0.14792440266150475,down,3.4766936086643145
SIPA1L3,-0.4059947010342186,-0.39358035128925994,-0.008967772818339513,-0.10009537922372874,down,3.4804818346580753
AC016717.2,-0.6224341412412585,-0.6663270499495281,-0.013742074965672205,-0.1542813130531573,down,3.4888915661148925
KCTD8,-0.425791439967379,-0.427772687565662,-0.0445765440742972,-0.5018290296936565,down,3.4928392529279186
RANBP1,-0.3486137814449851,-0.35585450280431535,0.012442755562687095,-0.1407402752473556,down,3.4996573155729642
LINC02220,-0.5439072850047276,-0.5559254037791521,-0.017571193747202462,-0.19889255932470132,down,3.500705191970681
MSC-AS1,-0.3862640281039927,-0.38478802371182746,0.043395695406361096,-0.49130461721749474,down,3.5009939492612623
